VOLKSWAGEN,low,352
FIAT,high,721
VOLKSWAGEN,high,3270
CHEVROLET,low,261
DAIHATSU,high,36
LAND ROVER,high,251
HONDA,high,4138
SUZUKI,high,218
TOYOTA,low,2063
RENAULT,high,95
PORSCHE,high,191
BMW,low,181
ZAZ,high,8
LEXUS,high,5278
JAGUAR,low,17
LEXUS,low,813
MITSUBISHI,high,866
INFINITI,high,114
JAGUAR,high,120
ACURA,high,41
AUDI,high,1340
LINCOLN,high,37
JEEP,high,620
MERCEDES-BENZ,high,9472
CHEVROLET,high,2749
HONDA,low,300
KIA,high,1142
NISSAN,high,3368
MITSUBISHI,low,40
DODGE,low,36
AUDI,low,147
TOYOTA,high,13288
CHRYSLER,high,72
BMW,high,3493
SUBARU,high,2136
MINI,high,304
VOLVO,high,142
GAZ,high,82
SSANGYONG,high,649
DAEWOO,high,173
DODGE,high,186
VAZ,high,202
MERCEDES-BENZ,low,912
HYUNDAI,high,9759
FORD,low,467
HYUNDAI,low,472
PEUGEOT,high,49
SKODA,high,54
SUBARU,low,202
NISSAN,low,236
MOSKVICH,high,8
FORD,high,5622
OPEL,high,1308
MAZDA,high,1796
MASERATI,high,8
KIA,low,42
UAZ,high,60
BUICK,high,25
CITROEN,high,17
GMC,high,24
ISUZU,high,22
OPEL,low,11
ASTON MARTIN,high,2
CADILLAC,high,62
SCION,high,24
ALFA ROMEO,low,1
ROVER,high,10
MINI,low,11
PORSCHE,low,15
ALFA ROMEO,high,26
სხვა,high,9
HUMMER,high,6
MAZDA,low,68
TESLA,high,30
MG,high,1
CITROEN,low,1
VOLVO,low,4
SATURN,high,6
LAND ROVER,low,3
JAC,high,1
ACURA,low,11
GAZ,low,4
JEEP,low,14
CHERY,high,1
FIAT,low,13
INFINITI,low,3
SEAT,high,9
DAIHATSU,low,4
TESLA,low,9
MASERATI,low,2
SAAB,high,7
GREATWALL,high,3
FERRARI,high,9
ROLLS-ROYCE,high,2
FOTON,high,3
VAZ,low,3
SUZUKI,low,21
LANCIA,high,2
HUMMER,low,1
FOTON,low,1
BENTLEY,high,7
MAYBACH,high,1
CHRYSLER,low,7
GMC,low,6
MERCURY,high,8
BUICK,low,8
MERCURY,low,1
PONTIAC,high,2
BRILLIANCE,high,1
RENAULT,low,2
ROLLS-ROYCE,low,2
FAW,high,2
LAMBORGHINI,high,3
CADILLAC,low,3
SKODA,low,1
FERRARI,low,1
LINCOLN,low,6
TATA,high,3
MOSKVICH,low,2
ROVER,low,1
სხვა,low,1
HAVAL,high,1
